City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lensk,60.7253,114.9278,289.07,38,94,1.81,RU,1685958515
1,lata,40.1629,-8.3327,299.53,49,30,1.13,PT,1685958516
2,waitangi,-43.9535,-176.5597,281.94,90,59,8.93,NZ,1685958516
3,vernon,50.2581,-119.2691,285.79,41,0,1.03,CA,1685958516
4,port-aux-francais,-49.35,70.2167,281.0,88,90,17.81,TF,1685958516
5,hakha,22.65,93.6167,294.55,62,93,0.39,MM,1685958517
6,grand falls-windsor,48.9332,-55.6649,277.87,95,100,1.04,CA,1685958517
7,afaahiti,-17.75,-149.2833,296.08,72,42,4.69,PF,1685958517
8,constantia,44.1833,28.65,295.76,49,7,6.05,RO,1685958432
9,lihue,21.9789,-159.3672,296.92,75,20,4.63,US,1685958517
10,bredasdorp,-34.5322,20.0403,287.2,56,93,4.1,ZA,1685958518
11,bethel,41.3712,-73.414,284.35,88,100,0.0,US,1685958371
12,adamstown,-25.066,-130.1015,294.43,71,2,8.38,PN,1685958518
13,ribeira grande,38.5167,-28.7,293.58,83,40,7.2,PT,1685958518
14,stanley,54.868,-1.6985,287.89,70,40,2.57,GB,1685958518
15,flin flon,54.7682,-101.865,289.1,91,22,3.39,CA,1685958519
16,kokopo,-4.352,152.2633,299.35,83,53,4.64,PG,1685958519
17,chernyshevskiy,63.0128,112.4714,285.58,36,86,3.32,RU,1685958519
18,howrah,22.5892,88.3103,312.15,39,40,4.12,IN,1685958519
19,grytviken,-54.2811,-36.5092,273.86,98,100,2.77,GS,1685958519
20,kirensk,57.7853,108.1119,285.03,94,100,3.93,RU,1685958520
21,ust-nera,64.5667,143.2,289.21,40,92,1.48,RU,1685958520
22,dakhla,23.6848,-15.958,295.16,78,0,6.17,EH,1685958520
23,invercargill,-46.4,168.35,279.47,92,69,1.39,NZ,1685958520
24,broome,42.2506,-75.833,282.6,85,24,1.1,US,1685958520
25,klyuchi,52.2667,79.1667,307.98,19,1,6.69,RU,1685958521
26,tolanaro,-25.0319,46.9987,303.19,51,20,8.23,MG,1685958521
27,puerto natales,-51.7236,-72.4875,274.28,88,98,1.26,CL,1685958521
28,malayer,34.2969,48.8235,304.39,15,6,5.79,IR,1685958521
29,qaqortoq,60.7167,-46.0333,276.86,85,100,1.91,GL,1685958522
30,carnarvon,-24.8667,113.6333,294.38,59,21,9.82,AU,1685958522
